Компания,Отрасль,Сайт,Целевая роль,ЛПР,Телефоны,Emails,Соцсети,Приоритет,Статус
VIVA Invest,Девелопмент / строительство,vivainvest.by,Коммерческий директор / директор по маркетингу,Управляющий партнёр — Жарков Ю.,+375 17 270-27-02; +375 29 190-79-06,info@vivainvest.by,,B,собран
Савушкин продукт,Пищевая промышленность,savushkin.by,Директор по операциям / IT-директор,Генеральный директор — Савчиц А.В.,+375 162 47-06-24; +375 162 47-07-81; +375 162 47-07-77; +375 162 30-49-31; +375 44 745-67-83; +375 232 73-92-90; +375 212 61-88-04; +375 222 47-68-96,info@savushkin.by; prod@savushkin.by; ingredients@savushkin.com,,B,собран
Бабушкина крынка,Пищевая промышленность,babushkina.by,Директор по операциям / IT-директор,Генеральный директор — Руденя А.,+375 222 79-20-00; +375 222 79-20-01; +375 222 79-20-10; +375 222 79-20-40; +375 222 79-20-41; +375 222 79-20-42; +375 222 79-20-43; +375 222 79-20-31; +375 2231 7-99-42,inbox@babushkina.by,,B,собран
Слуцкий сыродельный комбинат,Пищевая промышленность,slsk.by,Директор по операциям / IT-директор,Генеральный директор — Герасимёнок А.А.,+375 1795 5-55-02; +375 1795 4-07-36; +375 174 28-26-03; +375 1794 6-85-77; +375 17 936-94-62,info@slsk.by,,B,собран
Молочный мир,Пищевая промышленность,milk.by,Директор по операциям / IT-директор,Генеральный директор — Аникеева М.Е.,+375 152 45-39-01; +375 152 43-01-72; +375 152 45-39-56; +375 152 45-39-02; +375 152 45-39-42; +375 152 45-39-03; +375 152 45-39-04; +375 29 117-99-99; +375 29 289-99-99; +375 29 698-72-07; +375 1563 6-47-44; +375 1514 20-4-03; +375 232 53-14-86; +375 232 53-14-89,info@milk.by; director@milk.by; sales@milk.by; olip@milk.by,,B,собран
Беллакт,Пищевая промышленность,bellakt.com,Директор по операциям / IT-директор,Генеральный директор — Лупик В.И.; Заместитель генерального директора по коммерческим вопросам — Михеенко А.Ф.,+375 1512 5-26-25; +375 1512 5-26-33; +375 1512 5-27-22; +375 1512 7-50-25; +375 1512 7-50-26; +375 1512 7-50-50; +375 1512 7-50-60; +375 1512 7-50-58,bellakt@bellakt.com,,B,собран
Глубокский молочноконсервный комбинат,Пищевая промышленность,glmkk.by,Директор по операциям / IT-директор,Генеральный директор — Сороговец С.И.,+375 2156 2-42-63; +375 2156 2-50-87; +375 2156 5-49-39,glmkk@mail.ru; info@glmkk.by,,B,собран
Полоцкий молочный комбинат,Пищевая промышленность,polotskmilk.by,Директор по операциям / IT-директор,Генеральный директор — Черневич М.,+375 214 43-11-20; +375 214 43-95-21; +375 214 42-74-47,polotskmilk@mail.ru,,B,собран
Березовский сыродельный комбинат,Пищевая промышленность,cheese.by,Директор по операциям / IT-директор,,+375 1643 2-23-21; +375 1643 6-79-69; +375 1643 4-50-50,info@cheese.by; plant@cheese.by,,B,собран
Березовский мясоконсервный комбинат,Пищевая промышленность,meat.by,Директор по операциям / IT-директор,Генеральный директор — Степанович А.В.,+375 1643 9-11-11; +375 1643 9-12-91; +375 1643 3-98-11; +375 1643 3-98-65; +375 1643 9-11-78; +375 1643 9-11-59; +375 1643 9-11-62; +375 1643 9-50-87; +375 1643 9-11-40; +375 1643 9-11-76; +375 1643 3-98-08; +375 1643 9-12-12,bmkk@meat.by; market@meat.by,,B,собран
Оршанский мясоконсервный комбинат,Пищевая промышленность,omkk.by,Директор по операциям / IT-директор,Генеральный директор — Журавская С.И.,+375 216 53-23-01; +375 216 53-00-11; +375 216 53-24-01; +375 216 53-48-75; +375 216 53-12-18; +375 216 53-45-56; +375 216 53-14-75; +375 216 50-70-01; +375 216 54-89-49; +375 216 50-70-02; +375 216 50-70-22,info@omkk.by,,B,собран
Минский мясокомбинат,Пищевая промышленность,mmk.by,Директор по операциям / IT-директор,,+375 17 272-66-63; +375 17 398-66-63; +375 17 212-65-23; +375 17 398-56-17; +375 17 398-68-15; +375 17 398-69-17; +375 17 398-09-57; +375 17 278-69-07,market@mmk.by; priem-mmk@mail.ru,,B,собран
Гродненский мясокомбинат,Пищевая промышленность,grodnomk.by,Директор по операциям / IT-директор,Генеральный директор — Янушко О.,+375 152 43-01-60; +375 152 43-03-61; +375 152 48-08-43; +375 152 48-08-46; +375 152 48-44-93; +375 152 48-75-25; +375 152 48-75-26; +375 152 41-34-63; +375 152 43-09-92,info@grodnomk.by; meatcom@mail.ru,,B,собран
Спартак,Пищевая промышленность,spartak.by,Директор по операциям / директор по маркетингу,Генеральный директор — Лисицына Т.,+375 232 69-07-01; +375 232 69-07-02; +375 232 69-07-03; +375 232 69-07-22; +375 232 30-44-67; +375 232 30-44-95; +375 232 30-15-59; +375 232 30-44-45; +375 17 377-50-51,info@spartak.by; sbyt@spartak.by,,B,собран
Коммунарка,Пищевая промышленность,kommunarka.by,Директор по операциям / директор по маркетингу,Генеральный директор — Нечай А.Г.,+375 17 238-63-14; +375 17 378-45-74; +375 17 364-45-75; +375 17 272-65-77; +375 17 229-27-22; +375 17 272-00-27; +375 17 229-27-98,office@kommunarka.by; sales@kommunarka.by,,B,собран
Красный пищевик,Пищевая промышленность,zefir.by,Директор по операциям / директор по маркетингу,Директор — Кисель И.Н.,+375 225 43-68-28; +375 225 43-67-81; +375 225 43-67-83,kp@zefir.by; market@zefir.by,,B,собран
Слодыч,Пищевая промышленность,slodych.by,Директор по операциям / директор по маркетингу,Генеральный директор — Близнюк О.,+375 17 355-15-30; +375 17 357-97-29; +375 17 230-82-08; +375 17 230-64-59; +375 17 230-80-07; +375 17 230-80-06; +375 17 230-63-69; +375 17 230-62-07,info@slodych.by,,B,собран
БНБК,Пищевая промышленность / АПК,bnbc.by,Директор по операциям / IT-директор,Генеральный директор — Ложечник С.,+375 17 555-40-52; +375 17 555-40-51; +375 33 341-61-51,info@bnbc.by,,B,собран
Аливария,Напитки,alivaria.by,Директор по маркетингу / IT-директор,Генеральный директор — Крапивин И.,+375 17 239-58-01; +375 17 239-58-02; +375 17 239-58-36,info@alivaria.by,,B,собран
Криница,Напитки,krinitsa.by,Директор по маркетингу / IT-директор,Генеральный директор — Кучерявый Л.,+375 17 299-22-22; +375 17 299-22-78; +375 17 299-22-13; +375 17 299-22-11; +375 17 299-23-63; +375 17 299-23-58; +375 17 299-23-64; +375 17 299-23-00; +375 17 299-22-64,info@krinitsa.by,,B,собран
Лидское пиво,Напитки,lidskae.by,Директор по маркетингу / IT-директор,Генеральный директор — Микшис А.,+375 154 53-53-01; +375 154 53-53-03; +375 17 221-43-45,lidski.brovar@lidskae.by,,B,собран
Минск Кристалл,Напитки,kristal.by,Директор по маркетингу / IT-директор,Генеральный директор — Шустов И.П.,+375 17 327-44-69; +375 17 364-44-69; +375 17 361-12-08; +375 17 235-03-68,glp@kristal.by; office@alcotrade.by,,B,собран
Серволюкс,АПК,servolux.com,Директор по операциям / IT-директор,Генеральный директор — Баскин Е.,+375 29 747-37-00; 8 801 205 7777; +375 29 789-33-48; +7 495 651-61-06,office@servolux.com; feedback@servolux.com; commerce@servolux.by,,B,собран
Агрокомбинат Дзержинский,АПК,akd.by,Директор по операциям / IT-директор,Генеральный директор — Лукьянов В.М.,+375 1716 2-18-18; +375 17 555-31-98; +375 17 504-84-87; +375 1716 7-37-74; +375 1716 7-34-64,info@agro.akd.by,,B,собран
Агрокомбинат Снов,АПК,snov.by,Директор по операциям / IT-директор,Председатель правления — Радоман Н.В.,+375 1770 5-61-87; +375 1770 5-00-77; +375 1770 5-66-96; +375 1770 5-51-94; +375 29 606-56-01,agrocomplex@snov.by; sbytsnov@mail.ru,,B,собран
Молочная правда,АПК,rmkk.by,Директор по операциям / IT-директор,Директор — Луцкий В.,+375 2339 3-83-66; +375 2339 3-82-34; +375 2339 3-83-72; +375 2339 2-54-51; +375 2339 2-71-92; +375 2339 2-71-83; +375 2339 2-71-75; +375 2339 2-54-24; +375 2339 3-83-23,office@rmkk.by,,B,собран
